Trace,IPC,Load Misses
srv95,0.347987,25095
srv767,0.392112,21033
srv573,0.43383,2298
srv111,0.427502,172478
srv610,0.34711,26637
srv717,0.381846,54069
srv359,0.427722,150340
srv775,0.392298,5133
srv564,0.371601,65903
srv668,0.351829,14051
srv579,0.350578,704
srv218,0.348208,33034
srv771,0.402442,222244
srv0,0.389054,5596
srv336,0.511159,10699
srv322,0.442103,5800
srv224,0.423833,157249
srv138,0.348229,630
srv290,0.36848,4807
srv317,0.350662,13183
srv208,0.348962,24551
srv649,0.369136,3627
srv764,0.397037,207831
srv625,0.370189,3764
srv20,0.448488,741
srv287,0.384745,209062
srv311,0.606637,44880
srv369,0.349985,698
srv184,0.351637,648
srv238,0.599127,4
srv296,0.368902,4107
srv572,0.349674,546
srv618
srv742,0.387943,178798
srv623,0.431903,170729
srv25,0.349858,13522
srv608,0.350804,13967
srv196,0.348321,31657
srv66,0.346743,737
srv122,0.368571,3681
srv56,0.431746,168537
srv93,0.393336,20553
srv46
srv651,0.421865,12611
srv340,0.532165,1025
srv130,0.345329,32204
srv189,0.368571,3780
srv435,0.348704,12677
srv543,0.348007,604
srv605,0.348669,630
srv403,0.432161,164381
srv426,0.396487,217603
srv675,0.439352,155983
srv173,0.367693,4322
srv348,0.387695,5246
srv68,0.503215,10789
srv753,0.512383,10788
srv489,0.435166,167401
srv110,0.390637,5079
srv585,0.606102,44905
srv90,0.345364,657
srv307,0.367891,3984
srv339,0.3532,14056
srv741,0.367806,4002
srv380,0.348895,26048
srv575
srv282,0.368469,4426
srv350,0.498622,10537
srv773,0.349402,25334
srv562,0.395403,19307
srv140,0.34863,14818
srv559,0.366757,4082
srv613,0.387474,5102
srv84,0.348531,25721
srv55,0.389749,5692
srv325,0.350661,736
srv713,0.350154,27169
srv607,0.347512,28154
srv578,0.347295,14434
srv724,0.368885,3932
srv305,0.366505,3970
srv301,0.379547,4182
srv502,0.348906,26780
srv41,0.402548,223846
srv136,0.391464,5803
srv5,0.369203,4019
srv782,0.349997,610
srv452,0.34703,29110
srv69,0.394438,19507
srv399,0.351604,639
srv433,0.351701,599
srv71,0.349212,14612
srv12,0.379774,253995
srv686,0.390075,4362
srv263,0.349276,14824
srv473,0.391029,4927
srv406,0.603768,45729
srv40,0.390985,4545
srv235,0.38969,4410
srv487,0.355234,14484
srv244,0.348845,672
srv470,0.392941,21742
srv252,0.348047,25494
srv258,0.390983,5129
srv576,0.349104,580
srv278,0.34799,12717
srv599,0.368829,3533
srv748,0.350402,27053
srv530,0.346799,33426
srv92,0.369696,4112
srv567,0.36866,4039
srv563,0.368723,3926
srv200,0.605912,45288
srv511,0.390044,4805
srv619,0.347772,29023
srv11,0.349737,27972
srv38,0.367095,4475
srv482,0.508137,10917
srv515,0.390704,4455
srv624,0.347121,29872
srv312,0.351101,26753
srv203,0.440726,5409
srv256,0.348866,13351
srv706,0.397072,210230
srv766,0.349227,14378
srv45,0.427162,171269
srv551,0.40107,203297
srv512,0.366094,3596
srv3,0.394579,19052
srv377,0.350346,24906
srv171,0.429154,171924
srv698,0.387139,4397
srv745,0.393875,19894
srv277,0.346648,29666
srv264,0.349141,639
srv24,0.348244,26345
srv163,0.367894,3958
srv518,0.368065,3781
srv677,0.394289,5138
srv237,0.34915,14784
srv309,0.451583,1686
srv396,0.346029,740
srv416,0.368314,3908
srv201,0.350405,14893
srv18,0.392232,4594
srv731,0.354479,12975
srv548,0.368904,3863
srv726,0.665109,245
