Trace,Agile SBFP,Agile NoFP,Agile sep16,Agile sep64
gcc-17B,0.569304,0.507654,0.569207,0.569173
mcf-51B,0.119776,0.116827,0.11957,0.119754
sphinx3-1395B,0.632052,0.632145,0.633039,0.633731
milc-127B,0.63382,0.630246,0.632472,0.633809
GemsFDTD-1491B,0.624974,0.630513,0.630292,0.621625
omnetpp_s-874B,0.321236,0.312793,0.321497,0.321412
omnetpp-188B,0.318836,0.296351,0.317598,0.318083
xalancbmk_s-700B,0.504476,0.502885,0.504309,0.504522
xalancbmk-716B,0.603974,0.600059,0.603929,0.604124
mcf_s-665B,0.355016,0.354899,0.355019,0.355017
cactusADM-1804B,0.488019,0.638483,0.488009,0.468609
astar-153B,0.614812,0.608434,0.614436,0.614826
