Trace,ASP AllFP,ASP NoFP,ASP SBFP,DP AllFP,DP NoFP,DP SBFP,No AllFP,No NoFP,No SBFP,SP AllFP,SP NoFP,SP SBFP
srv_194,0.49429,0.478412,0.492227,0.494158,0.479065,0.492156,0.49426,0.478409,0.492186,0.493369,0.483016,0.491146
srv_276,0.508021,0.483467,0.505344,0.507547,0.484282,0.505096,0.50802,0.48347,0.505305,0.505568,0.490094,0.504893
srv_495,0.565488,0.544155,0.560008,0.565073,0.544842,0.560068,0.565488,0.544155,0.560008,0.563662,0.55195,0.562703
srv_207,0.534743,0.51026,0.531519,0.534188,0.51119,0.531204,0.534741,0.510261,0.531571,0.532568,0.517162,0.52917
srv_706,0.538789,0.521669,0.535984,0.538449,0.522477,0.535958,0.538789,0.52167,0.535983,0.537076,0.527961,0.537408
srv_41,0.561036,0.540307,0.55523,0.560752,0.540975,0.555297,0.561053,0.540307,0.555234,0.558772,0.546989,0.55754
srv_727,0.563919,0.542697,0.560706,0.563401,0.543591,0.558734,0.563919,0.542697,0.560706,0.56175,0.550297,0.561319
srv_222,0.557999,0.537825,0.55393,0.557543,0.538373,0.55303,0.558018,0.537825,0.553691,0.555487,0.543697,0.554302
srv_s61,0.560617,0.540032,0.555446,0.560336,0.540632,0.55556,0.560641,0.540033,0.555445,0.558204,0.546174,0.557523
srv_641,0.560481,0.541102,0.556887,0.560137,0.541856,0.555671,0.560448,0.541102,0.556855,0.558825,0.547693,0.557995
srv_442,0.553746,0.536239,0.549365,0.55342,0.536766,0.548811,0.553761,0.536239,0.549346,0.55186,0.542205,0.551006
srv_582,0.566627,0.545955,0.563011,0.566295,0.54686,0.561253,0.566627,0.545955,0.563011,0.56493,0.553605,0.564413
srv_702,0.552551,0.532998,0.54912,0.552115,0.53349,0.548295,0.552557,0.532998,0.549179,0.550371,0.5391,0.549462
srv_s10,0.57177,0.550342,0.568185,0.571279,0.551383,0.566225,0.57177,0.550342,0.568185,0.569423,0.558383,0.569058
srv_551,0.538279,0.522904,0.536733,0.537931,0.523464,0.53573,0.538279,0.522904,0.536731,0.536713,0.529138,0.536867
srv_128,0.544387,0.528005,0.542408,0.544117,0.528499,0.542214,0.544373,0.528006,0.542395,0.54308,0.53464,0.543005
srv_575,0.545946,0.532064,0.544208,0.545742,0.532437,0.543811,0.545917,0.532061,0.544144,0.544608,0.536838,0.543093
srv_408,0.516776,0.499667,0.514938,0.516541,0.500238,0.514603,0.516778,0.499668,0.514932,0.515219,0.505061,0.514808
srv_540,0.549968,0.527631,0.545603,0.549632,0.528394,0.543585,0.549989,0.527631,0.545599,0.547645,0.53394,0.545681
srv_743,0.550865,0.540364,0.550007,0.550706,0.540784,0.548621,0.550866,0.540364,0.550007,0.55092,0.544279,0.550382
srv_61,0.568209,0.548256,0.565306,0.567765,0.549033,0.56347,0.568209,0.548256,0.565306,0.566574,0.55636,0.566211
srv_504,0.559967,0.542668,0.555807,0.559664,0.543124,0.555828,0.559953,0.542669,0.555799,0.558358,0.548396,0.557532
srv_364,0.553434,0.535346,0.548928,0.552965,0.536282,0.548983,0.553434,0.535347,0.548928,0.551251,0.542176,0.551053
srv_259,0.557806,0.538875,0.55503,0.557422,0.539455,0.552739,0.557802,0.538875,0.555069,0.555387,0.545106,0.554518
srv_21,0.527869,0.508353,0.525257,0.527496,0.509191,0.525132,0.527857,0.508353,0.525239,0.526326,0.515146,0.52566
srv_s60,0.544716,0.520117,0.541823,0.544274,0.521015,0.538909,0.544726,0.520117,0.541822,0.542394,0.527699,0.541076
srv_426,0.545958,0.522377,0.543601,0.545558,0.523037,0.542625,0.545949,0.522378,0.543465,0.54399,0.529742,0.543576
srv_s0,0.556475,0.53407,0.550902,0.555897,0.534623,0.550009,0.55648,0.53407,0.550901,0.553034,0.540097,0.552067
srv_526,0.538211,0.52731,0.537252,0.537999,0.527736,0.536404,0.538189,0.527311,0.537229,0.537923,0.531642,0.537318
srv_48,0.558129,0.538598,0.553346,0.557671,0.539287,0.553265,0.558151,0.538598,0.55335,0.555837,0.545089,0.555314
srv_s7,0.569017,0.557002,0.566942,0.568704,0.557555,0.566812,0.569017,0.557002,0.566943,0.568265,0.5613,0.568273
srv_617,0.550181,0.531571,0.547897,0.549813,0.532112,0.547876,0.550184,0.53157,0.547904,0.548692,0.537573,0.546048
srv_32,0.565486,0.544486,0.560829,0.56505,0.545267,0.559532,0.565485,0.544486,0.56083,0.56391,0.552073,0.561991
srv_255,0.572297,0.552605,0.56728,0.571998,0.553189,0.56732,0.572291,0.552605,0.567282,0.570633,0.559317,0.570019
srv_669,0.523986,0.504193,0.521226,0.523261,0.505111,0.520286,0.524022,0.504194,0.521221,0.522247,0.51084,0.520089
srv_771,0.56177,0.541888,0.556883,0.561147,0.542483,0.556417,0.561797,0.541888,0.556467,0.559623,0.548719,0.558664
srv_287,0.506978,0.490293,0.504603,0.506619,0.490931,0.504384,0.506967,0.490293,0.504591,0.505818,0.496327,0.505383
srv_85,0.543401,0.520736,0.540424,0.542922,0.521422,0.537966,0.543414,0.520736,0.540425,0.54104,0.526874,0.539077
srv_225,0.571592,0.55098,0.566095,0.571176,0.551699,0.566128,0.571592,0.55098,0.566095,0.569513,0.55813,0.568613
srv_12,0.526644,0.505596,0.522809,0.526041,0.506414,0.522485,0.526623,0.505596,0.522961,0.525088,0.512247,0.524282
srv_s69,0.562378,0.542062,0.558774,0.561794,0.542863,0.557581,0.562284,0.542062,0.55868,0.560305,0.549104,0.559501
srv_73,0.52717,0.507795,0.525232,0.526974,0.508416,0.525066,0.527171,0.507793,0.525232,0.526005,0.513879,0.524552
srv_715,0.524664,0.50455,0.52103,0.524379,0.505394,0.520895,0.524641,0.504551,0.520999,0.523521,0.510944,0.521358
srv_537,0.548014,0.528745,0.545088,0.547559,0.529375,0.544239,0.548,0.528745,0.545045,0.546419,0.534958,0.544779
srv_764,0.53906,0.523111,0.537111,0.538735,0.523814,0.536913,0.53906,0.523112,0.537111,0.537942,0.530108,0.537712
