Trace,ASP AllFP,ASP NoFP,ASP SBFP,DP AllFP,DP NoFP,DP SBFP,No AllFP,No NoFP,No SBFP,SP AllFP,SP NoFP,SP SBFP
srv_194,0.400414,0.389913,0.399112,0.400337,0.390308,0.399058,0.400395,0.38991,0.399087,0.399912,0.393128,0.39844
srv_276,0.407019,0.390733,0.405238,0.406674,0.39125,0.40508,0.407022,0.390736,0.405231,0.40539,0.395159,0.404968
srv_495,0.430128,0.417929,0.42793,0.429911,0.418264,0.427162,0.430128,0.417929,0.42793,0.429132,0.422436,0.428704
srv_207,0.412593,0.397655,0.410651,0.412217,0.398205,0.410502,0.412594,0.397656,0.410641,0.411321,0.401915,0.409282
srv_706,0.421797,0.410917,0.42001,0.421548,0.411405,0.420011,0.421797,0.410917,0.420015,0.420864,0.415008,0.421094
srv_41,0.429417,0.416904,0.425988,0.429231,0.417317,0.426021,0.429426,0.416904,0.425988,0.428065,0.421038,0.4275
srv_727,0.428697,0.41608,0.426886,0.428384,0.416548,0.425622,0.428697,0.41608,0.426889,0.427452,0.420683,0.427216
srv_222,0.425852,0.413993,0.423011,0.42555,0.414342,0.422482,0.425864,0.413993,0.423016,0.424364,0.417579,0.423864
srv_s61,0.427528,0.415428,0.424471,0.427332,0.415794,0.424518,0.427533,0.415428,0.424472,0.426062,0.419024,0.425729
srv_641,0.428499,0.416803,0.426423,0.428294,0.417227,0.425573,0.428481,0.416803,0.426405,0.427531,0.420848,0.42689
srv_442,0.424675,0.414186,0.421946,0.4245,0.414514,0.421646,0.424682,0.414186,0.421946,0.4236,0.417778,0.422818
srv_582,0.431524,0.419393,0.429558,0.431297,0.419821,0.428576,0.431524,0.419393,0.429558,0.430653,0.423949,0.430224
srv_702,0.42244,0.410924,0.420368,0.422164,0.411237,0.41993,0.422444,0.410924,0.420368,0.421129,0.414475,0.420675
srv_s10,0.435287,0.422906,0.433266,0.434969,0.423368,0.432195,0.435287,0.422906,0.433266,0.433931,0.427584,0.433812
srv_551,0.422021,0.412461,0.421063,0.421826,0.412792,0.420482,0.42202,0.412461,0.421063,0.421067,0.416437,0.421206
srv_128,0.425405,0.414962,0.424022,0.425233,0.415269,0.423909,0.425396,0.414963,0.424017,0.424572,0.419117,0.424487
srv_575,0.429501,0.420844,0.428544,0.429361,0.421088,0.428157,0.429486,0.420841,0.42852,0.428557,0.423795,0.427732
srv_408,0.411537,0.400614,0.410247,0.411367,0.400989,0.410068,0.411536,0.400614,0.410239,0.410546,0.40407,0.410207
srv_540,0.4218,0.407941,0.418869,0.421582,0.408378,0.417805,0.42181,0.407941,0.41887,0.420375,0.411958,0.419297
srv_743,0.429904,0.423524,0.428945,0.429795,0.423766,0.429188,0.429904,0.423524,0.428894,0.429926,0.425963,0.429775
srv_61,0.43269,0.421109,0.430997,0.432435,0.421513,0.430866,0.43269,0.421109,0.430997,0.431713,0.425776,0.43152
srv_504,0.427971,0.417371,0.425342,0.427801,0.417686,0.425387,0.427961,0.417371,0.425338,0.426949,0.420877,0.426399
srv_364,0.427345,0.415762,0.425591,0.427065,0.416339,0.424656,0.427345,0.415762,0.425591,0.426096,0.420242,0.425923
srv_259,0.425451,0.413909,0.423671,0.425246,0.414274,0.422448,0.425463,0.41391,0.42367,0.42408,0.417854,0.423487
srv_21,0.415904,0.403487,0.414049,0.415672,0.403955,0.414,0.415897,0.403487,0.414044,0.414922,0.40775,0.414399
srv_s60,0.417596,0.402765,0.415725,0.417326,0.403312,0.414091,0.417595,0.402765,0.415723,0.416225,0.407279,0.415216
srv_426,0.422741,0.408243,0.42124,0.422535,0.408628,0.420801,0.422729,0.408244,0.421278,0.421617,0.412796,0.421423
srv_s0,0.425371,0.412259,0.422305,0.425093,0.412597,0.421663,0.425375,0.412259,0.422306,0.423509,0.415969,0.423007
srv_526,0.422333,0.415587,0.421523,0.422226,0.41587,0.421102,0.422318,0.415587,0.421489,0.422211,0.418245,0.421762
srv_48,0.426991,0.415263,0.42408,0.426738,0.415671,0.424051,0.427003,0.415263,0.42409,0.42565,0.419024,0.425245
srv_s7,0.434431,0.427084,0.433149,0.434271,0.42745,0.433152,0.434431,0.427084,0.433148,0.434173,0.429821,0.433977
srv_617,0.422969,0.411641,0.421718,0.42279,0.411978,0.421688,0.422971,0.41164,0.42172,0.422124,0.415461,0.420481
srv_32,0.431191,0.418884,0.428739,0.430958,0.419284,0.427749,0.431189,0.418884,0.428739,0.430335,0.423325,0.429243
srv_255,0.435253,0.422834,0.433099,0.435036,0.423202,0.432108,0.435253,0.422834,0.433099,0.43418,0.427153,0.43375
srv_669,0.413273,0.400811,0.411504,0.412854,0.401378,0.410834,0.413276,0.400811,0.411467,0.412158,0.405043,0.410747
srv_771,0.428816,0.41678,0.425685,0.428434,0.417131,0.425677,0.428829,0.41678,0.425691,0.427556,0.420849,0.427045
srv_287,0.409141,0.398222,0.407695,0.408906,0.398637,0.407566,0.409134,0.398222,0.407688,0.408308,0.402246,0.408193
srv_85,0.418042,0.404399,0.416369,0.417769,0.404894,0.414879,0.418043,0.404399,0.416366,0.416673,0.408099,0.415608
srv_225,0.433863,0.421994,0.431196,0.433625,0.4224,0.430535,0.433863,0.421994,0.431196,0.432682,0.426162,0.432211
srv_12,0.40775,0.394597,0.405411,0.407486,0.395096,0.405201,0.407747,0.394597,0.405427,0.406816,0.398893,0.406344
srv_s69,0.429421,0.41769,0.427946,0.429107,0.418164,0.426926,0.429366,0.41769,0.42789,0.428248,0.421977,0.427952
srv_73,0.416276,0.404154,0.415014,0.416173,0.404525,0.414961,0.416276,0.404153,0.415005,0.415541,0.407941,0.414636
srv_715,0.414361,0.401572,0.41216,0.414213,0.402077,0.411741,0.414345,0.401572,0.412177,0.413591,0.405738,0.412463
srv_537,0.420299,0.408311,0.418477,0.420009,0.4087,0.417691,0.420295,0.408311,0.418477,0.419248,0.412195,0.418147
srv_764,0.424104,0.414195,0.422826,0.423896,0.414579,0.422717,0.424104,0.414196,0.422826,0.423458,0.418407,0.423322
