Trace,ASP AllFP,ASP NoFP,ASP SBFP,DP AllFP,DP NoFP,DP SBFP,No AllFP,No NoFP,No SBFP,SP AllFP,SP NoFP,SP SBFP
srv_194,163321,163322,163320,163322,163324,163320,163321,163322,163320,163319,163319,163316
srv_276,185249,185253,185250,185248,185252,185250,185249,185253,185250,185247,185252,185247
srv_495,176982,176950,176968,176982,176951,176966,176982,176950,176968,176969,176949,176953
srv_207,210328,210331,210335,210330,210335,210335,210328,210331,210335,210330,210333,210331
srv_706,160594,160590,160567,160595,160591,160564,160594,160590,160567,160590,160583,160583
srv_41,173092,173017,173067,173090,173017,173067,173092,173017,173067,173066,173017,173062
srv_727,176687,176708,176654,176688,176707,176689,176687,176708,176654,176699,176690,176680
srv_222,171818,171825,171805,171819,171825,171823,171818,171825,171810,171818,171822,171804
srv_s61,172805,172801,172806,172806,172801,172805,172805,172801,172806,172807,172803,172792
srv_641,173703,173680,173666,173703,173681,173690,173703,173680,173666,173703,173686,173688
srv_442,173455,173432,173442,173454,173432,173439,173455,173432,173441,173453,173433,173433
srv_582,175047,175057,175015,175048,175058,175048,175047,175057,175015,175048,175058,175037
srv_702,175827,175828,175821,175829,175828,175829,175827,175828,175821,175833,175831,175817
srv_s10,173166,173147,173120,173167,173152,173156,173166,173147,173120,173161,173153,173137
srv_551,154950,154950,154925,154951,154950,154957,154950,154950,154925,154949,154957,154944
srv_128,154342,154310,154304,154342,154310,154306,154342,154310,154304,154342,154310,154332
srv_575,130886,130846,130846,130886,130845,130850,130886,130846,130847,130884,130846,130860
srv_408,165200,165201,165197,165200,165201,165196,165200,165201,165197,165201,165203,165200
srv_540,189105,189096,189067,189105,189097,189103,189105,189096,189067,189106,189098,189077
srv_743,143455,143435,143445,143456,143434,143452,143455,143435,143445,143453,143433,143450
srv_61,173393,173414,173356,173393,173414,173390,173393,173414,173356,173390,173395,173373
srv_504,167191,167188,167185,167190,167188,167185,167191,167188,167185,167190,167189,167180
srv_364,167029,167022,167020,167034,167020,167023,167029,167022,167020,167031,167023,167015
srv_259,174114,174110,174090,174115,174109,174113,174116,174110,174092,174113,174109,174097
srv_21,172923,172916,172898,172920,172917,172915,172923,172916,172899,172919,172944,172925
srv_s60,199164,199125,199153,199164,199125,199154,199164,199125,199154,199171,199137,199152
srv_426,174619,174618,174608,174621,174618,174606,174619,174618,174607,174617,174615,174613
srv_s0,173576,173592,173579,173576,173592,173579,173576,173592,173579,173578,173586,173567
srv_526,147034,147031,147032,147034,147031,147030,147034,147031,147032,147034,147034,147032
srv_48,169769,169775,169768,169769,169772,169765,169769,169775,169768,169775,169779,169765
srv_s7,160702,160702,160691,160702,160705,160688,160702,160702,160691,160699,160703,160708
srv_617,165040,165040,165038,165040,165040,165038,165040,165040,165038,165040,165040,165040
srv_32,173115,173115,173093,173115,173115,173115,173115,173115,173093,173117,173113,173113
srv_255,170484,170490,170482,170487,170490,170481,170484,170490,170482,170486,170487,170473
srv_669,170509,170506,170500,170508,170506,170493,170509,170506,170500,170507,170511,170506
srv_771,169433,169426,169429,169430,169426,169428,169433,169426,169428,169429,169426,169411
srv_287,163623,163616,163589,163622,163615,163589,163623,163616,163588,163617,163621,163610
srv_85,196504,196480,196495,196504,196481,196498,196504,196480,196495,196504,196494,196484
srv_225,172581,172588,172582,172582,172588,172578,172581,172588,172582,172580,172587,172565
srv_12,201644,201636,201648,201644,201633,201648,201644,201636,201648,201645,201640,201640
srv_s69,171695,171687,171664,171691,171679,171688,171695,171687,171664,171687,171670,171674
srv_73,163962,163962,163964,163963,163965,163962,163962,163962,163964,163961,163965,163959
srv_715,176147,176141,176140,176150,176144,176148,176147,176141,176140,176154,176154,176157
srv_537,184060,184057,184041,184060,184056,184039,184060,184057,184040,184063,184056,184055
srv_764,155782,155787,155742,155781,155788,155743,155782,155787,155742,155785,155789,155761
