Trace,ASP AllFP,ASP NoFP,ASP SBFP,DP AllFP,DP NoFP,DP SBFP,No AllFP,No NoFP,No SBFP,SP AllFP,SP NoFP,SP SBFP
srv_194,164008,164012,164005,164008,164013,164006,164008,164012,164005,164007,164013,164005
srv_276,185955,185958,185953,185956,185959,185952,185955,185958,185953,185959,185956,185955
srv_495,177663,177648,177663,177662,177648,177663,177663,177648,177663,177661,177650,177662
srv_207,211343,211337,211345,211343,211342,211345,211343,211337,211345,211343,211338,211344
srv_706,161150,161177,161151,161152,161177,161150,161150,161177,161151,161160,161163,161152
srv_41,174073,173999,174049,174072,173999,174050,174073,173999,174049,174054,174000,174050
srv_727,177288,177336,177294,177292,177338,177301,177288,177336,177294,177310,177310,177306
srv_222,172752,172754,172754,172753,172752,172752,172752,172754,172755,172753,172752,172755
srv_s61,173745,173746,173746,173742,173746,173745,173745,173746,173746,173746,173745,173745
srv_641,174306,174281,174292,174306,174280,174293,174306,174281,174292,174300,174288,174292
srv_442,174354,174331,174338,174350,174330,174333,174354,174331,174338,174351,174330,174342
srv_582,175692,175698,175695,175693,175698,175696,175692,175698,175695,175693,175697,175693
srv_702,176725,176725,176723,176726,176725,176723,176725,176725,176723,176724,176723,176725
srv_s10,173797,173785,173801,173798,173785,173801,173797,173785,173801,173798,173801,173802
srv_551,155506,155502,155505,155506,155502,155507,155506,155502,155505,155507,155507,155506
srv_128,154888,154860,154875,154888,154860,154876,154888,154860,154875,154888,154856,154880
srv_575,131640,131603,131615,131640,131603,131613,131640,131603,131615,131639,131601,131613
srv_408,166063,166057,166060,166062,166057,166058,166063,166057,166060,166063,166060,166061
srv_540,190029,190026,190030,190029,190026,190031,190029,190026,190030,190028,190027,190028
srv_743,143718,143684,143723,143718,143684,143719,143718,143684,143722,143714,143688,143718
srv_61,174011,174011,174011,174011,174011,174012,174011,174011,174011,174011,174010,174011
srv_504,168052,168049,168046,168051,168049,168046,168052,168049,168046,168053,168049,168047
srv_364,167767,167776,167772,167767,167773,167772,167767,167776,167772,167769,167777,167771
srv_259,175116,175116,175119,175117,175116,175116,175117,175116,175119,175116,175115,175119
srv_21,173537,173528,173549,173532,173530,173550,173537,173528,173549,173533,173558,173544
srv_s60,200103,200074,200088,200103,200074,200088,200103,200074,200088,200112,200087,200096
srv_426,175153,175162,175154,175154,175161,175153,175153,175162,175155,175156,175160,175153
srv_s0,174501,174499,174505,174501,174499,174501,174501,174499,174505,174501,174495,174502
srv_526,147384,147382,147382,147384,147382,147381,147384,147382,147382,147384,147383,147382
srv_48,170685,170684,170685,170685,170685,170682,170685,170684,170685,170688,170684,170687
srv_s7,160947,160965,160945,160948,160965,160942,160947,160965,160945,160948,160959,160955
srv_617,165859,165856,165857,165860,165856,165856,165859,165856,165857,165860,165856,165855
srv_32,173818,173819,173819,173819,173819,173820,173818,173819,173819,173819,173819,173820
srv_255,171201,171213,171201,171203,171213,171201,171201,171213,171201,171202,171208,171202
srv_669,171462,171457,171462,171462,171456,171460,171462,171457,171462,171462,171463,171462
srv_771,170215,170216,170213,170215,170215,170213,170215,170216,170213,170216,170215,170213
srv_287,164223,164213,164219,164222,164213,164219,164223,164213,164219,164220,164213,164217
srv_85,197475,197452,197474,197475,197456,197471,197475,197452,197474,197477,197466,197474
srv_225,173273,173278,173271,173274,173278,173270,173273,173278,173271,173275,173278,173272
srv_12,202473,202462,202471,202468,202461,202468,202473,202462,202470,202468,202465,202470
srv_s69,172242,172242,172237,172242,172238,172241,172242,172242,172237,172242,172227,172240
srv_73,164442,164442,164435,164442,164445,164437,164442,164442,164435,164441,164445,164438
srv_715,177122,177114,177126,177124,177115,177124,177122,177114,177126,177121,177124,177134
srv_537,185028,185029,185029,185028,185029,185028,185028,185029,185029,185030,185030,185028
srv_764,156357,156361,156358,156357,156361,156357,156357,156361,156358,156359,156362,156359
