Trace,Agile NaiveFP,Agile NoFP,Agile SBFP,ASP NaiveFP,ASP NoFP,ASP SBFP,DP NaiveFP,DP NoFP,DP SBFP,No NaiveFP,No NoFP,No SBFP,SP NaiveFP,SP NoFP,SP SBFP
gcc-17B,0.56903,0.507654,0.569304,0.569993,0.492588,0.569932,0.570776,0.492311,0.570263,0.568924,0.482139,0.568516,0.57969,0.52619,0.581575
bwaves-945B,0.671358,0.671358,0.671358,0.671358,0.671358,0.671358,0.671358,0.671358,0.671358,0.671358,0.671358,0.671358,0.671358,0.671358,0.671358
gobmk-30B,0.586578,0.586233,0.586575,0.586576,0.586316,0.586576,0.586572,0.586369,0.586572,0.586579,0.586233,0.586577,0.586561,0.586572,0.58657
mcf-51B,0.119818,0.116827,0.119776,0.119849,0.116935,0.119806,0.119986,0.117119,0.119943,0.119818,0.116827,0.119774,0.119682,0.117655,0.119675
gromacs-228B,0.65605,0.65605,0.65605,0.656046,0.655949,0.656046,0.656047,0.655945,0.65605,0.656024,0.655765,0.656012,0.656052,0.656053,0.656061
cactusADM-1804B,0.456788,0.638483,0.488019,0.513616,0.647287,0.647507,0.533143,0.539543,0.540112,0.413442,0.413348,0.413866,0.516983,0.414097,0.614417
bzip2-38B,0.611385,0.611385,0.611385,0.611385,0.611385,0.611385,0.611385,0.611385,0.611385,0.611385,0.611385,0.611385,0.611385,0.611385,0.611385
leslie3d-273B,0.66099,0.662256,0.662675,0.659745,0.66283,0.663068,0.663406,0.663372,0.663847,0.660564,0.655234,0.662236,0.659432,0.663565,0.662829
perlbench-41B,0.622496,0.621399,0.622463,0.622495,0.62144,0.622466,0.622489,0.621553,0.62247,0.622496,0.621399,0.622463,0.622477,0.622289,0.622467
namd-23B,0.658749,0.658749,0.658749,0.658749,0.658749,0.658749,0.658749,0.658749,0.658749,0.658749,0.658749,0.658749,0.658749,0.658749,0.658749
milc-127B,0.631846,0.630246,0.63382,0.631795,0.633666,0.633783,0.629094,0.626557,0.631013,0.622704,0.511686,0.622704,0.631733,0.633822,0.633823
dealII-3B,0.643436,0.643349,0.64343,0.643439,0.643285,0.643424,0.643413,0.643307,0.643414,0.643437,0.643243,0.64342,0.643431,0.643413,0.643439
soplex-247B,0.392301,0.38656,0.392233,0.392097,0.386534
gamess-875B,0.66112,0.66112,0.66112,0.66112,0.66112,0.66112,0.66112,0.66112,0.66112,0.66112,0.66112,0.66112,0.66112,0.66112,0.66112
