Trace,ASP,DP,MP,Morrigan,No,SP
srv_194,0.416184,0.416114,0.418288,0.428048,0.416212,0.416457
srv_276,0.41774,0.417616,0.419943,0.429166,0.417733,0.417996
srv_495,0.456385,0.456408,0.460972,0.476484,0.456354,0.456011
srv_207,0.433967,0.433715,0.437404,0.451769,0.433847,0.434181
srv_706,0.442864,0.442878,0.44617,0.460302,0.442907,0.442723
srv_41,0.454889,0.455007,0.459652,0.474383,0.454946,0.454235
srv_727,0.452962,0.452929,0.456977,0.473165,0.452935,0.45251
srv_222,0.45338,0.454199,0.457605,0.472115,0.453296,0.453077
srv_s61,0.453509,0.45347,0.458144,0.473217,0.453473,0.453858
srv_641,0.451425,0.451378,0.455321,0.470773,0.451393,0.451757
srv_442,0.452646,0.452661,0.457032,0.472137,0.452635,0.453004
srv_582,0.457932,0.457822,0.462613,0.478876,0.457947,0.4575
srv_702,0.450101,0.450886,0.454402,0.467799,0.450498,0.449743
srv_s10,0.461445,0.461525,0.466622,0.48377,0.46148,0.461367
srv_551,0.446141,0.446167,0.449378,0.462766,0.446179,0.446325
srv_128,0.445242,0.445191,0.447887,0.461532,0.44511,0.445363
srv_575,0.451712,0.451557,0.454116,0.46413,0.451747,0.45188
srv_408,0.431317,0.431275,0.434505,0.447274,0.431421,0.431639
srv_540,0.446794,0.446782,0.451053,0.465415,0.446911,0.446061
srv_743,0.459988,0.459819,0.462356,0.474966,0.459973,0.460235
srv_61,0.456867,0.456794,0.460864,0.475148,0.456834,0.456722
srv_504,0.456391,0.456324,0.458591,0.472841,0.456439,0.454722
srv_364,0.448408,0.448248,0.452168,0.466636,0.448337,0.448118
srv_259,0.454155,0.454238,0.45815,0.472735,0.454256,0.45252
srv_21,0.434512,0.43451,0.437706,0.450896,0.434502,0.435117
srv_s60,0.443501,0.443438,0.447742,0.462654,0.443585,0.443726
srv_426,0.44091,0.440881,0.443593,0.4564,0.441076,0.441341
srv_s0,0.452772,0.454745,0.4578,0.472416,0.452805,0.453025
srv_526,0.455956,0.455977,0.458299,0.471987,0.455944,0.456561
srv_48,0.455562,0.455461,0.458102,0.474378,0.455515,0.453685
srv_s7,0.465637,0.465709,0.469022,0.486111,0.465655,0.466067
srv_617,0.45019,0.450131,0.453882,0.467089,0.450173,0.450424
srv_32,0.455218,0.455283,0.459245,0.474993,0.455252,0.455012
srv_255,0.4589,0.458682,0.462808,0.477903,0.458871,0.458435
srv_669,0.434034,0.434002,0.437175,0.450402,0.434094,0.434808
srv_771,0.455584,0.455431,0.459269,0.473094,0.455545,0.45552
srv_287,0.424845,0.42481,0.427443,0.43775,0.424891,0.425201
srv_85,0.442305,0.442135,0.44591,0.460785,0.442265,0.442317
srv_225,0.457621,0.457625,0.462011,0.478315,0.457741,0.457345
srv_12,0.43107,0.430037,0.43455,0.449118,0.431274,0.430686
srv_s69,0.452174,0.452225,0.455814,0.471208,0.452167,0.452776
srv_73,0.430051,0.429942,0.4322,0.441453,0.429985,0.430229
srv_715,0.432059,0.432113,0.435028,0.447868,0.432025,0.431415
srv_537,0.446975,0.446985,0.450623,0.466081,0.447071,0.447186
srv_764,0.445587,0.445468,0.448725,0.461308,0.445677,0.445967
